Id,Код,Возраст,Среднемесячный расход,Средняя продолжительность разговоров,Звонков днем за месяц,Звонков вечером за месяц,Звонков ночью за месяц,Звонки в другие города,Звонки в другие страны,Доля звонков на стационарные телефоны,Количество SMS за месяц
47,47,68,55.2,2.3,8,12,0,0,0,10,1
48,48,41,952.28,7.6,41,121,0,0,0,11,5
49,49,26,569.29,5.4,65,71,7,0,0,9,14
50,50,65,73.92,2.2,16,12,0,0,0,7,0
51,51,63,77.52,3.4,9,10,0,0,0,6,1
52,52,51,424.82,5.4,62,33,7,0,0,16,5
54,54,39,591.58,7.4,56,44,5,0,0,29,22
55,55,38,357.42,3.1,65,89,0,7,1,22,3
56,56,41,223.91,1.9,90,58,0,0,0,14,39
57,57,51,1148.51,6.0,184,112,9,76,0,43,8
58,58,36,853.45,6.6,111,46,0,11,0,2,58
59,59,20,32.87,0.4,23,101,10,3,0,3,46
60,60,52,265.69,4.3,42,38,0,5,1,7,4
61,61,53,232.96,2.6,40,72,0,3,0,12,4
62,62,54,302.32,2.8,51,95,5,0,1,15,2
63,63,59,532.02,7.2,42,57,0,10,0,12,0
64,64,19,340.03,3.4,50,102,10,4,0,3,26
65,65,44,467.46,5.3,62,36,6,0,0,2,16
66,66,69,25.92,1.2,9,9,0,0,0,2,1
67,67,59,302.03,2.9,77,54,1,0,0,16,5
68,68,56,232.95,2.3,51,86,2,0,1,20,2
69,69,56,670.32,5.6,33,124,0,33,0,11,1
70,70,53,14.41,1.1,10,6,0,0,0,0,0
71,71,33,612.96,8.3,48,36,3,30,0,1,17
72,72,53,2556.34,9.8,260,131,37,42,0,55,8
73,73,40,172.56,2.1,48,60,4,22,2,14,44
74,74,49,554.32,3.8,93,98,0,22,0,6,1
75,75,55,1548.2,9.9,104,98,3,40,0,3,4
76,77,68,50.4,3.5,5,7,0,0,0,2,0
77,78,67,14.4,1.5,3,5,0,0,0,9,1
78,79,39,199.7,2.2,67,47,1,13,0,5,36
79,80,40,1236.03,9.9,68,98,4,0,0,14,66
80,81,37,149.1,1.2,67,81,3,1,0,22,22
81,82,55,616.11,5.2,69,89,0,0,0,0,3
82,83,47,13.51,1.1,11,4,0,0,0,0,0
84,85,26,321.43,2.9,63,84,2,0,0,9,39
85,86,55,365.32,3.7,65,64,0,15,0,19,5
86,87,48,484.44,6.5,50,45,4,0,0,11,4
87,88,33,17.04,1.3,11,5,0,0,0,0,0
88,89,61,1529.92,6.4,243,91,15,32,5,48,15
89,90,49,162.43,1.5,67,76,0,4,0,3,4
90,91,53,18.72,1.2,3,10,0,0,0,2,1
91,92,38,1053.15,9.9,59,84,0,0,0,19,21
92,93,35,206.01,3.3,30,56,0,20,0,8,60
93,94,60,571.39,3.9,109,75,2,0,0,5,0
94,95,26,618.02,6.6,46,82,0,0,1,16,48
96,97,54,117.37,1.1,69,68,5,22,0,10,3
97,98,25,336.7,3.7,60,45,2,31,0,22,14
98,99,54,354.76,2.8,59,98,0,1,0,0,5
99,100,47,419.97,3.8,33,126,1,3,0,3,3
100,101,64,7.2,1.2,4,1,0,0,0,3,3
101,102,45,1399.65,9.3,46,148,4,0,2,17,2
102,103,64,63.48,2.3,18,5,0,0,0,4,1
103,104,46,154.28,1.9,79,5,0,0,0,3,0
104,105,66,71.76,2.3,17,9,0,0,0,1,1
105,106,44,735.73,7.0,34,117,0,0,0,20,9
106,107,52,263.08,3.5,37,66,0,0,0,8,2
107,108,47,134.06,2.3,41,32,3,4,0,14,1
108,109,46,88.44,1.9,44,3,3,0,0,15,4
109,110,54,23.34,1.9,10,5,0,0,0,0,0
110,111,40,420.42,4.4,60,65,0,34,0,9,18
111,112,56,291.62,2.8,111,6,3,22,0,1,5
112,113,44,337.74,2.2,90,113,2,0,0,10,32
115,116,55,581.0,8.3,58,18,2,12,1,26,4
116,117,45,199.18,2.1,63,44,5,25,0,18,3
117,118,25,833.63,8.8,75,85,27,4,0,9,44
118,119,47,164.35,1.2,93,84,0,0,0,6,0
119,120,38,105.17,1.3,67,32,0,14,0,8,26
120,121,33,428.96,5.2,72,26,3,0,0,14,60
121,122,57,468.77,6.6,38,54,7,0,0,9,3
122,123,37,643.72,7.6,31,75,6,7,0,11,38
123,124,56,931.55,6.4,108,75,3,9,0,10,5
124,125,69,12.48,2.6,2,2,0,0,0,0,2
125,126,21,141.01,1.7,36,79,7,2,0,0,54
126,127,20,411.18,4.4,46,74,27,3,0,5,40
127,128,28,332.2,3.5,50,76,4,0,0,27,28
128,129,42,12.6,1.4,8,2,0,0,0,0,0
129,130,57,288.05,3.4,70,34,0,7,0,7,3
130,131,30,268.87,2.3,60,82,2,0,0,9,19
131,132,38,483.14,3.4,99,63,0,2,0,6,21
132,133,31,274.32,2.9,43,86,5,0,0,19,48
133,134,65,48.6,2.7,6,9,0,0,0,7,1
134,135,44,211.17,1.7,64,101,8,5,0,1,28
135,136,38,196.64,2.1,84,27,2,32,0,13,49
136,137,46,876.36,4.9,109,100,5,0,0,2,1
137,138,57,738.54,6.2,89,59,6,11,0,22,4
138,139,35,2504.1,17.0,115,119,23,5,2,9,123
139,140,27,243.21,2.3,49,97,0,5,0,6,27
140,141,34,487.88,3.7,48,138,2,0,0,22,5
142,143,50,17.12,1.1,8,11,0,0,0,0,0
143,144,49,3636.63,11.0,376,119,48,8,3,28,14
144,145,30,180.4,2.4,64,28,0,0,0,4,32
145,146,47,226.8,2.7,48,53,0,16,0,2,2
146,147,49,3451.0,11.6,289,121,30,8,0,13,5
147,148,70,39.0,2.5,12,1,0,0,0,5,2
148,149,49,172.2,2.0,55,46,0,0,3,0,3
149,150,54,259.26,3.7,43,49,0,38,0,0,3
150,151,49,123.37,1.5,42,55,7,0,0,0,5
151,152,42,226.45,1.5,80,125,0,0,0,2,49
152,153,47,307.54,3.4,86,21,0,6,0,2,4
153,154,36,22.68,1.8,11,3,0,0,0,0,0
154,155,47,320.32,3.2,48,75,0,0,1,13,2
155,156,46,257.6,3.2,60,28,6,28,0,24,3
156,157,32,1037.4,8.0,120,88,59,6,0,2,102
157,158,33,734.21,6.8,38,115,3,0,0,5,31
158,159,20,359.4,5.2,26,66,33,2,0,13,45
159,160,19,228.41,2.6,60,61,9,0,0,0,44
160,161,26,213.65,3.9,60,2,0,5,2,9,25
161,162,27,687.2,9.3,58,31,8,42,0,17,35
162,163,28,1419.11,9.4,115,137,49,3,0,10,98
163,164,43,177.38,2.8,36,38,3,16,0,24,39
164,165,20,164.6,3.4,7,64,10,0,1,5,66
165,166,45,136.64,3.9,29,14,0,1,0,6,0
166,167,42,19.66,1.2,10,10,0,0,0,0,0
167,168,19,135.3,3.6,7,48,8,0,1,4,74
168,169,53,536.99,6.0,56,58,7,2,0,12,3
169,170,44,197.92,2.6,32,71,7,0,0,14,28
170,171,26,432.14,3.2,56,131,4,3,2,23,46
171,172,49,359.27,4.0,55,64,0,7,0,15,3
172,173,50,849.52,7.4,35,115,0,18,0,10,4
173,174,51,398.51,3.4,61,98,0,20,1,10,2
174,175,34,162.54,2.7,51,14,0,40,0,23,15
175,176,54,435.33,5.1,55,55,4,0,0,28,5
176,177,50,748.35,6.6,44,114,4,2,0,12,2
177,178,46,296.8,2.0,48,144,2,0,0,30,4
178,179,25,375.19,3.8,56,76,0,43,1,19,22
179,180,30,469.98,3.4,86,96,0,0,0,29,35
180,181,69,36.48,1.6,11,8,0,0,0,10,1
181,182,36,1051.92,7.6,114,129,21,7,0,9,69
182,183,36,693.97,6.2,91,95,38,27,0,0,94
184,185,51,89.88,1.2,48,40,0,0,0,0,3
185,186,41,325.83,3.0,69,71,5,1,0,16,18
186,187,64,27.36,1.2,7,12,0,0,0,11,1
187,188,33,619.01,7.4,48,50,5,10,1,8,17
188,189,35,367.68,3.9,69,51,0,0,0,11,37
189,190,20,40.0,0.4,48,107,4,0,0,1,60
190,191,37,453.54,4.0,56,99,0,0,0,20,32
191,192,21,598.14,6.0,49,103,9,0,0,4,90
192,193,38,375.96,2.6,111,70,0,12,0,12,3
193,195,51,460.53,5.1,58,46,2,7,0,21,3
194,196,48,298.9,3.5,52,49,0,14,0,28,1
195,197,52,9.72,1.8,3,3,0,0,0,0,0
196,198,55,900.48,9.6,41,76,0,37,2,1,5
197,199,49,360.22,3.9,52,72,0,6,0,4,4
198,200,59,907.2,8.1,83,43,0,6,0,1,5
199,201,59,390.35,3.2,67,95,5,4,0,8,4
200,202,31,1239.64,9.6,85,133,37,19,0,14,94
201,203,39,384.62,3.7,58,64,5,7,0,1,54
202,205,42,270.02,2.7,48,89,0,34,0,8,37
203,206,50,136.83,1.2,71,78,2,4,0,13,2
204,207,51,798.56,6.2,66,90,2,0,0,26,4
205,208,45,393.28,4.2,36,95,4,0,0,15,1
206,209,31,305.9,2.3,58,109,0,7,0,3,53
207,210,35,653.43,4.6,50,153,0,3,0,11,8
208,211,55,397.58,5.7,47,42,3,31,0,3,4
209,213,26,222.73,2.1,34,117,3,36,0,0,26
210,214,41,463.42,5.0,68,48,3,2,0,30,34
211,215,51,321.05,4.8,45,42,0,33,0,10,3
212,216,57,198.23,1.6,43,131,5,0,0,12,2
213,217,49,519.79,6.0,62,49,0,0,0,17,5
214,218,52,432.52,7.0,35,47,2,29,0,26,4
215,219,21,165.11,2.4,24,81,6,0,0,10,25
216,220,51,15.07,2.3,3,5,0,0,0,0,0
217,221,39,449.4,4.0,56,81,1,26,1,19,47
218,222,20,106.63,2.7,25,33,8,0,0,6,54
219,223,25,117.72,1.4,57,74,2,0,0,3,13
220,224,25,323.34,1.8,103,137,0,1,0,18,69
221,225,21,94.02,2.4,8,44,19,2,0,4,24
222,226,24,10.89,0.6,21,3,9,0,0,0,25
223,227,69,18.72,1.2,10,3,0,0,0,1,1
224,228,37,26.21,2.0,12,4,0,0,0,0,0
225,229,31,1393.69,9.9,99,81,2,6,1,26,8
226,230,43,894.28,5.1,67,154,3,1,1,16,49
227,231,21,428.4,5.1,38,81,2,0,0,7,21
228,232,58,188.42,2.9,40,45,0,3,0,21,4
229,233,42,409.27,2.5,82,141,0,6,1,13,41
230,234,31,838.74,9.9,53,58,0,27,0,10,26
231,235,41,455.07,3.8,62,98,4,2,1,20,57
232,236,48,798.8,6.0,65,117,2,0,1,18,3
233,237,57,178.64,4.4,33,12,0,0,0,26,5
234,238,55,207.66,2.0,55,84,4,1,0,12,3
235,239,50,294.29,2.8,76,58,0,0,1,6,1
236,240,59,1020.53,6.1,62,151,0,0,1,14,1
237,241,43,409.91,3.9,71,65,0,0,0,16,31
238,242,44,152.88,2.5,31,53,0,0,3,2,36
239,243,35,320.32,3.2,60,58,0,3,0,22,2
240,244,39,260.92,3.2,55,49,2,0,0,26,45
241,245,43,428.12,4.4,38,86,0,0,2,13,28
242,246,40,283.59,2.4,58,103,3,44,0,24,26
243,247,33,298.77,3.8,66,65,26,6,2,0,40
244,248,50,990.85,8.5,60,98,0,0,0,1,2
245,249,31,201.8,3.3,53,20,2,34,0,6,23
246,250,54,313.63,2.9,37,99,7,0,1,3,1
247,251,50,368.82,3.0,99,53,2,0,0,2,2
248,252,41,529.76,4.3,53,97,8,23,0,5,15
249,253,20,397.55,7.9,5,74,0,0,0,8,26
250,254,49,281.55,2.6,64,80,0,3,0,9,0
251,256,56,707.07,3.9,71,159,0,3,0,13,1
252,257,48,23.96,1.5,10,9,1,0,0,0,0
253,258,58,514.08,5.1,60,59,0,9,0,12,4
254,259,44,436.6,4.6,50,78,0,0,0,25,61
255,260,46,627.64,5.9,71,64,6,6,0,4,5
256,261,66,28.8,1.6,8,7,0,0,0,4,1
257,262,34,21.42,1.7,11,3,0,0,0,0,0
258,263,38,472.15,3.8,72,75,3,5,0,8,7
259,264,28,119.35,1.1,55,78,0,19,0,5,27
260,265,40,375.19,3.1,107,39,0,5,0,7,19
261,266,35,335.7,3.4,59,72,0,0,0,25,52
262,267,30,714.97,9.2,58,40,0,13,0,1,19
263,268,54,230.86,3.4,38,44,0,3,0,23,4
264,269,58,159.78,1.1,38,152,5,20,0,4,1
265,270,26,114.21,1.1,56,82,4,5,0,22,63
266,271,38,257.7,3.1,78,18,5,0,0,0,23
267,272,44,216.96,2.6,68,35,0,2,0,3,36
268,273,40,1223.04,8.0,109,86,0,7,1,26,9
269,274,36,291.43,3.0,43,91,3,1,1,16,29
270,275,45,619.42,4.4,55,142,2,41,0,4,5
271,276,20,195.21,2.7,48,62,7,0,0,0,26
272,277,46,532.0,3.2,63,148,1,1,0,13,1
273,278,27,616.11,4.8,59,116,5,0,3,13,47
274,279,20,283.34,3.2,60,77,4,2,0,10,28
275,280,36,3577.77,13.8,346,55,12,26,5,23,11
276,281,54,557.37,3.5,70,151,0,23,0,1,2
277,282,47,582.98,8.8,34,56,0,0,0,9,3
278,283,42,1384.07,9.7,65,130,4,0,0,20,28
279,284,24,168.55,2.1,57,66,6,0,0,6,59
280,285,37,686.56,6.8,71,58,1,27,0,22,67
281,286,31,412.01,3.3,68,100,0,0,0,0,18
282,287,67,2389.13,11.4,184,128,34,46,0,8,12
283,288,39,220.68,1.3,71,141,3,12,0,15,7
284,289,45,510.24,3.6,58,138,5,40,0,0,2
285,290,46,1162.53,7.3,55,150,1,5,0,1,5
286,291,19,38.7,0.5,34,83,9,2,0,0,82
287,292,36,334.55,2.6,64,111,2,31,2,8,37
288,293,28,399.88,2.7,51,159,3,36,0,4,9
289,294,33,590.52,3.8,67,127,0,0,0,14,48
290,295,38,405.45,6.7,35,44,4,1,0,10,15
291,296,46,538.02,6.1,46,59,4,27,0,17,2
292,297,20,133.93,2.9,56,3,27,2,0,1,79
294,299,59,309.01,2.7,58,80,3,1,0,0,1
295,300,41,168.55,1.8,97,8,4,0,0,1,24
296,301,49,454.82,3.0,65,146,0,31,0,19,4
297,302,52,780.57,6.3,52,103,2,0,0,6,3
298,303,56,140.46,1.5,50,76,2,3,0,4,3
299,304,31,486.78,3.8,67,89,0,0,0,0,48
300,305,27,396.34,3.4,49,114,0,0,0,23,24
301,306,44,208.81,2.2,58,68,0,41,0,8,37
302,307,39,458.92,4.4,67,54,0,3,0,19,12
303,308,26,570.04,6.1,64,42,3,39,0,23,10
304,309,29,137.72,4.7,31,3,0,0,0,21,12
305,310,45,3009.82,12.6,282,93,0,27,0,24,9
306,311,43,293.53,2.4,84,74,0,0,0,16,12
307,312,21,102.9,1.0,34,113,0,0,0,2,92
308,313,53,296.08,2.8,48,99,0,22,0,15,1
309,314,53,338.88,3.5,44,90,0,0,0,14,1
310,315,29,635.43,4.4,136,111,35,7,2,0,86
311,316,44,485.01,5.4,59,56,4,15,0,11,13
312,317,58,327.93,3.9,55,54,0,1,0,0,1
313,318,31,151.16,2.1,55,36,0,3,0,10,7
314,319,29,259.49,2.2,58,87,1,42,0,3,10
316,321,47,138.61,1.7,84,9,0,36,0,5,3
317,322,42,120.5,1.1,58,75,1,7,0,3,8
318,323,59,334.23,3.3,40,102,0,0,0,12,3
319,324,59,84.24,2.6,21,6,0,0,0,4,2
320,325,57,1970.05,7.8,311,73,25,40,11,59,10
321,326,28,760.41,5.1,103,66,4,4,1,20,63
322,327,42,3143.21,9.6,356,148,20,26,0,28,9
324,329,55,583.91,6.3,49,76,1,0,1,21,1
325,330,20,5.41,0.1,7,73,10,0,0,7,18
326,331,30,2868.0,20.0,106,101,64,5,0,0,101
327,332,30,3505.32,20.0,124,155,84,8,0,7,59
328,333,26,636.02,5.9,62,65,4,3,0,23,31
329,334,40,797.72,7.7,36,94,6,2,3,6,52
330,335,53,477.75,5.0,50,79,0,28,0,6,4
331,336,49,13.92,1.7,6,4,0,0,0,0,0
332,337,29,1056.62,8.2,112,108,32,6,0,12,83
333,338,44,601.07,5.6,60,83,3,45,0,6,9
334,339,48,404.24,3.8,52,92,4,0,0,16,3
335,340,31,893.39,5.5,108,102,2,3,0,10,23
336,341,60,145.14,2.1,45,41,7,7,3,0,2
337,343,34,13.1,1.0,9,7,0,0,0,0,0
338,344,43,111.06,1.1,65,66,1,26,1,24,50
339,345,57,145.18,1.7,58,41,0,1,0,8,4
340,346,24,334.95,3.0,38,120,3,0,0,2,61
341,347,53,34.4,2.0,10,11,0,0,0,0,0
342,348,20,8.44,0.1,47,65,17,0,0,11,21
343,349,49,231.61,3.6,70,3,0,41,0,8,5
344,350,48,376.79,3.5,57,88,2,29,0,13,5
345,351,46,647.36,6.8,33,89,0,0,1,7,5
346,352,20,24.08,0.9,6,35,2,0,1,0,45
347,353,52,317.1,3.8,48,64,0,3,0,3,0
348,354,53,287.26,2.9,31,111,1,0,0,21,4
349,355,29,90.09,1.3,38,46,0,0,0,27,21
350,356,25,96.89,1.3,33,67,6,28,1,1,29
352,358,41,495.6,4.0,29,133,6,3,2,1,28
353,359,53,420.32,5.3,44,61,3,14,0,10,0
354,360,62,12.6,2.1,1,4,0,0,0,4,1
355,361,19,52.36,0.6,14,120,6,0,0,10,30
356,362,43,192.01,2.6,60,21,1,0,0,8,27
358,364,21,695.6,6.5,48,120,0,0,0,2,37
359,365,29,855.05,7.0,58,91,3,0,0,18,26
361,367,28,597.47,3.9,83,122,3,0,0,14,10
362,368,67,75.6,3.5,13,5,0,0,0,5,3
363,370,32,2652.15,11.0,259,112,15,49,0,52,5
364,371,49,10.81,1.1,3,8,2,0,0,0,0
365,372,56,266.42,2.2,80,59,2,32,1,10,1
366,373,32,559.73,5.8,76,44,1,4,2,10,2
368,375,53,649.74,5.1,65,90,0,0,3,3,4
369,376,59,788.86,7.2,65,81,0,26,0,1,5
370,377,48,17.28,1.2,11,5,0,0,0,0,0
371,378,41,240.87,3.7,60,8,2,2,0,16,9
373,380,43,430.13,3.7,61,94,5,0,0,19,63
374,381,35,17.28,1.6,5,7,0,0,0,0,0
375,382,34,626.23,5.8,50,97,3,26,0,20,59
376,383,60,334.32,2.4,71,97,4,0,0,12,5
378,385,19,254.16,6.0,11,53,5,0,0,1,31
379,386,40,168.93,1.7,69,58,2,0,0,2,7
380,387,21,212.12,3.0,46,62,6,0,0,0,36
381,388,46,422.33,5.1,70,29,4,0,2,15,2
382,389,56,793.07,5.0,108,96,2,0,0,17,5
383,391,27,124.95,1.4,53,52,3,0,1,16,2
384,392,38,326.06,3.4,60,52,0,26,0,16,8
385,393,47,585.79,4.4,62,121,0,0,0,1,5
386,394,45,1223.14,9.9,76,68,3,36,1,14,1
387,395,35,1370.46,10.0,134,101,32,2,0,10,68
388,397,33,173.07,1.3,87,86,0,5,0,3,12
389,398,43,183.26,2.1,68,41,0,0,0,11,40
390,399,29,1092.12,7.6,103,121,31,8,0,6,85
391,400,55,406.98,3.8,50,82,0,4,0,1,4
392,401,45,426.66,3.4,81,82,2,38,0,5,0
393,402,35,12.53,1.7,6,3,0,0,0,0,0
394,403,53,405.13,5.3,39,64,2,0,2,3,4
395,405,36,1116.6,6.1,71,158,7,7,2,9,12
396,406,31,249.96,3.6,45,44,4,0,0,2,3
397,407,34,259.87,3.3,54,36,1,13,1,10,8
399,409,36,412.78,4.0,67,68,0,42,0,19,32
400,410,45,205.88,3.2,69,4,0,17,0,11,0
401,412,38,701.72,7.2,35,103,2,1,0,24,32
402,413,58,942.76,9.1,71,48,0,5,0,11,2
403,414,45,306.08,3.1,44,93,0,11,0,22,2
404,415,50,585.79,3.8,65,150,0,0,2,9,0
405,416,51,173.42,1.5,84,61,3,0,0,14,4
406,417,38,451.76,3.6,73,94,0,0,1,8,27
408,419,20,171.08,2.6,23,67,8,0,0,0,66
409,420,70,62.64,1.8,21,8,0,0,0,1,1
410,421,49,119.25,1.3,40,88,0,0,0,2,5
411,422,32,958.18,9.2,48,95,1,6,0,11,47
412,423,39,22.68,2.1,10,2,0,0,0,0,0
413,424,42,40.5,2.5,7,10,2,0,0,0,0
414,425,49,701.02,6.2,87,54,1,0,0,14,0
415,426,57,38.64,1.4,16,7,0,0,0,1,1
416,427,29,462.24,3.4,111,121,34,5,0,0,58
417,428,42,231.61,2.4,64,61,1,36,3,18,24
418,429,44,254.16,3.0,50,62,0,0,0,12,22
419,430,52,15.77,1.1,8,9,1,0,0,0,0
420,431,54,854.79,7.1,43,129,0,0,0,5,2
421,432,70,37.44,1.3,18,6,0,0,0,4,3
422,433,20,41.79,0.8,39,33,20,0,0,6,16
423,434,19,385.56,5.1,33,75,0,0,0,2,29
424,435,44,278.02,2.9,51,77,3,17,2,21,6
425,436,47,224.07,2.2,32,100,1,3,2,16,1
426,437,68,31.2,1.0,19,7,0,0,0,2,1
427,438,27,1312.2,9.0,96,123,48,32,1,8,104
428,439,58,511.07,4.9,60,63,4,0,0,2,5
429,440,44,848.99,6.8,61,110,0,4,0,12,26
430,441,57,112.62,1.3,64,46,0,0,0,8,0
431,442,58,350.35,4.0,40,78,5,39,0,12,0
432,443,45,208.62,2.5,33,84,0,13,0,5,0
433,444,48,882.95,8.3,53,92,0,1,0,3,5
434,445,45,362.68,5.9,33,47,7,0,0,27,5
435,446,59,283.5,2.3,47,126,3,4,0,6,4
436,447,47,211.17,1.7,67,98,6,4,0,10,0
437,448,53,717.84,5.9,58,109,0,24,0,14,2
438,449,21,143.64,1.9,35,69,8,0,1,11,69
439,451,30,170.27,1.1,71,141,4,26,1,9,9
440,452,50,311.11,3.7,32,87,0,3,0,7,3
441,453,30,702.74,5.6,55,117,4,0,1,5,34
442,454,35,522.85,4.2,81,121,52,43,0,14,98
443,455,39,466.67,3.3,98,83,2,22,0,4,3
444,456,55,424.88,4.6,41,87,0,20,0,15,2
446,458,23,73.89,0.8,40,105,0,0,0,3,65
447,459,41,17.2,1.5,5,9,0,0,0,0,0
448,460,34,2263.2,16.4,99,111,40,41,2,9,160
449,461,27,199.06,2.5,35,76,0,1,1,2,32
450,462,29,1257.44,9.8,112,73,100,4,0,2,114
451,463,42,159.76,1.9,53,57,0,22,0,28,25
452,464,43,211.55,2.7,60,35,8,7,2,12,45
453,465,40,856.13,8.4,87,38,0,19,0,10,9
454,466,41,402.84,3.4,49,116,2,34,0,0,28
455,467,59,169.82,3.1,46,19,4,7,0,6,2
456,468,51,279.58,3.3,84,12,4,0,0,20,2
457,469,46,20.48,2.5,6,4,0,0,0,0,0
458,470,50,1126.73,8.8,49,132,0,28,0,18,5
459,471,51,764.05,5.9,60,100,0,0,1,18,5
460,472,23,105.81,2.2,24,49,5,0,0,3,69
461,474,62,49.92,2.6,14,2,0,0,0,8,3
462,475,45,189.0,1.5,66,87,0,0,0,1,2
463,476,19,50.32,0.5,46,107,10,0,0,7,54
464,477,20,105.53,1.5,52,46,5,0,0,2,27
465,478,57,273.27,2.6,46,100,0,3,1,8,4
466,479,28,230.08,2.4,41,90,5,22,0,15,36
467,480,40,479.02,8.0,39,36,6,0,1,1,21
468,481,45,420.17,6.8,33,50,2,37,0,19,4
469,482,59,268.69,3.7,52,37,8,7,1,11,5
470,483,32,383.14,4.1,60,48,1,0,0,25,20
471,484,36,266.65,2.3,80,69,2,22,0,12,65
472,485,30,1750.69,12.8,135,67,97,20,0,8,87
473,486,52,144.5,1.3,60,89,3,3,0,0,2
474,487,42,367.99,5.3,40,52,2,6,1,8,34
475,488,21,20.45,0.3,37,67,6,0,1,11,90
476,489,52,240.15,2.9,38,77,0,23,1,0,1
477,490,48,546.93,5.3,67,68,0,39,0,12,3
478,491,54,315.95,3.1,57,80,0,0,0,4,1
479,492,34,165.62,1.3,52,127,0,0,0,3,38
480,493,49,396.69,5.3,50,46,3,41,0,0,2
481,494,34,310.35,2.9,67,73,0,0,0,29,46
482,495,19,122.34,2.3,3,79,3,0,0,0,31
483,496,52,180.94,1.9,36,98,3,34,1,22,3
484,497,60,301.94,2.4,59,112,5,44,0,4,3
485,498,49,274.75,2.5,58,75,0,0,0,30,2
486,499,29,891.8,9.1,56,59,4,0,0,19,53
487,500,57,575.05,5.3,52,82,0,1,0,1,2
489,502,48,447.3,6.0,45,41,3,0,0,25,0
490,503,52,600.25,4.9,62,88,0,0,0,12,3
491,504,54,634.2,7.6,47,64,2,0,0,12,5
492,505,20,88.96,1.9,26,34,27,0,0,2,18
493,506,38,127.53,1.3,63,65,0,0,0,21,48
494,507,50,442.97,6.1,57,34,0,32,0,6,1
495,508,66,27.6,2.3,5,5,0,0,0,4,0
496,509,20,42.56,0.8,2,70,8,0,0,7,73
497,510,54,540.11,6.1,36,87,4,38,2,4,5
498,511,41,128.87,1.7,62,32,0,1,0,0,1
499,512,35,721.02,6.6,33,124,3,28,0,10,46
500,513,55,423.06,3.7,45,115,3,2,2,12,4
501,514,41,9.01,1.1,6,4,0,0,0,0,0
502,515,31,1804.2,12.4,105,120,35,7,0,7,122
503,516,67,30.24,2.1,10,2,0,0,0,6,0
504,517,58,271.95,2.1,63,96,0,42,0,4,0
505,518,21,68.03,0.8,40,90,7,0,0,6,30
506,519,60,54.6,1.2,40,8,2,6,0,0,3
507,520,40,216.58,2.5,56,57,0,34,1,9,23
508,521,30,211.68,2.1,82,28,0,1,0,12,11
509,522,40,357.77,3.8,58,50,7,32,0,6,12
